"sgRNA"	"Gene"	"exp_mock_1"	"exp_mock_2"	"exp_rcVSV_1"	"exp_rcVSV_2"	"exp_hku5_1"	"exp_hku5_2"	"exp_sars2_1"	"exp_sars2_2"	"exp_mers_1"	"exp_mers_2"	"exp_t1015n_1"	"exp_t1015n_2"	"exp_emcv_1"	"exp_emcv_2"	"exp_iav_1"
"A1CF_10"	"A1CF"	1106	1111	1247	1195	647	852	815	910	3643	1052	1172	1738	20	637	373
"A1CF_11"	"A1CF"	637	806	1072	778	339	419	480	602	826	603	385	669	178	827	511
"A1CF_2"	"A1CF"	391	356	812	687	244	285	462	397	127	230	372	178	420	1296	2369
"A1CF_3"	"A1CF"	1147	1307	1462	1142	648	896	993	1246	3712	1470	1585	6001	639	487	117
"A1CF_5"	"A1CF"	503	553	917	167	294	353	191	130	751	223	112	421	2260	1390	850
"A1CF_8"	"A1CF"	1380	1537	2118	965	801	1187	977	944	1702	1423	978	1727	221	911	776
"AARS1_1"	"AARS1"	2584	2965	3361	1951	1050	1552	2097	2361	3320	1234	2083	1458	18838	7384	2225
"AARS1_2"	"AARS1"	2419	2577	3334	2067	1607	1795	1887	1774	4389	2520	2280	2677	3346	2228	2461
"AARS1_3"	"AARS1"	433	410	733	326	141	379	231	354	390	417	274	553	135	74	3
"AARS1_4"	"AARS1"	158	172	85	80	26	107	59	36	38	11	15	12	0	18	63
"AARS1_5"	"AARS1"	1044	1146	964	620	533	525	443	477	1174	284	420	592	150	830	618
"AARS1_6"	"AARS1"	1501	1783	3078	2654	1581	1479	2217	1961	4622	2260	2381	1953	1001	754	1526
"AASDHPPT_1"	"AASDHPPT"	722	708	1786	1217	815	1107	850	695	1591	452	451	592	3	54	66
"AASDHPPT_10"	"AASDHPPT"	1196	1306	1980	1023	763	797	663	702	3068	901	1021	1194	1022	401	448
"AASDHPPT_2"	"AASDHPPT"	985	1245	456	391	299	365	265	262	1549	703	205	948	1918	3092	2444
"AASDHPPT_6"	"AASDHPPT"	166	109	155	9	75	171	387	273	52	23	13	0	472	24	0
"AASDHPPT_7"	"AASDHPPT"	460	494	739	435	210	231	80	165	131	140	8	103	1	189	179
"AASDHPPT_9"	"AASDHPPT"	326	323	353	109	94	170	283	182	442	117	478	341	6	172	137
"AASS_10"	"AASS"	2225	2276	3132	1927	1732	1662	1752	1422	4918	1927	2221	3710	1977	713	1143
"AASS_11"	"AASS"	753	828	1038	952	822	595	761	629	2955	1163	1144	1702	69	481	369
"AASS_4"	"AASS"	842	727	584	367	498	312	326	240	1633	967	569	1642	1678	737	366
"AASS_5"	"AASS"	196	179	93	113	126	76	78	45	164	24	83	78	17	275	22
"AASS_6"	"AASS"	1806	1860	1671	1400	1074	1009	809	776	6637	3803	5623	7470	1940	2300	1009
"AASS_7"	"AASS"	475	576	1243	743	650	463	766	775	371	294	181	300	97	48	453
"ABAT_11"	"ABAT"	541	572	609	334	409	303	313	368	995	436	577	549	305	818	188
"ABAT_13"	"ABAT"	1153	1286	2015	1891	1211	1257	1616	1281	1822	798	676	1101	2282	1702	2515
"ABAT_4"	"ABAT"	1204	995	1389	867	767	824	740	1243	1441	870	539	927	787	2127	244
"ABAT_6"	"ABAT"	1083	1251	5131	2946	1974	2012	2814	2720	2685	1371	1919	2322	2542	770	346
"ABAT_7"	"ABAT"	1275	1536	831	602	715	451	592	478	1865	785	1011	1142	2897	935	391
"ABAT_8"	"ABAT"	1180	1078	1648	1039	1122	782	1338	1336	1683	774	963	991	464	1023	1586
"ABCE1_1"	"ABCE1"	299	412	258	195	80	102	156	44	821	631	480	229	15	202	34
"ABCE1_2"	"ABCE1"	319	360	252	250	139	115	158	191	410	64	353	85	153	292	103
"ABCE1_3"	"ABCE1"	666	623	764	546	447	439	605	471	85	301	33	80	34	342	585
"ABCE1_5"	"ABCE1"	486	566	613	806	324	551	392	510	842	254	105	366	92	337	204
"ABCE1_7"	"ABCE1"	462	470	235	160	170	161	45	135	1060	700	528	790	206	655	39
"ABCE1_8"	"ABCE1"	883	985	86	172	50	95	57	128	3818	2198	2799	6533	795	872	218
"ABCF1_1"	"ABCF1"	161	170	233	135	79	129	231	178	45	16	0	204	9	352	70
"ABCF1_4"	"ABCF1"	190	105	191	142	78	48	52	104	396	94	89	118	0	339	7
"ABCF1_5"	"ABCF1"	333	362	224	135	190	189	118	267	83	164	34	261	13	327	4
"ABCF1_6"	"ABCF1"	55	19	11	20	4	7	5	22	17	0	92	0	0	0	134
"ABCF1_7"	"ABCF1"	1306	1123	1337	806	720	702	405	507	1493	1360	841	1788	636	654	1231
"ABCF1_8"	"ABCF1"	705	659	1195	373	623	416	450	412	729	309	378	788	26	575	1413
"ABHD10_2"	"ABHD10"	1251	1485	1472	765	797	664	585	530	1586	983	1300	2129	1192	1488	1159
"ABHD10_3"	"ABHD10"	285	209	124	90	119	39	136	38	0	53	52	49	457	452	268
"ABHD10_5"	"ABHD10"	1448	1389	1199	817	776	950	755	705	2863	1567	1420	1886	4112	1884	760
"ABHD10_7"	"ABHD10"	2416	3085	3867	3281	2464	1979	4321	3734	6464	2202	2400	4078	2665	2601	2270
"ABHD10_8"	"ABHD10"	826	776	696	568	715	533	422	497	398	378	402	496	1192	1050	785
"ABHD10_9"	"ABHD10"	1014	1067	1398	935	829	604	451	750	1111	1035	548	1461	1019	626	278
"ACAA2_12"	"ACAA2"	1055	1237	1505	813	752	499	498	708	2445	1120	1152	1403	325	841	367
"ACAA2_13"	"ACAA2"	2483	3005	2793	2114	1473	1523	1752	1939	4700	2247	910	2999	2039	4726	1340
"ACAA2_3"	"ACAA2"	2033	2533	3483	2630	1835	2237	2873	3200	2624	1587	970	1619	616	2116	3428
"ACAA2_7"	"ACAA2"	1161	1031	2370	1631	1092	1002	1998	2098	522	178	94	225	3647	2621	940
"ACAA2_8"	"ACAA2"	1177	1206	863	617	713	372	470	717	1260	548	711	849	3995	2886	1429
"ACAA2_9"	"ACAA2"	495	402	587	519	437	302	342	363	942	129	260	512	1368	579	485
"ACAD10_10"	"ACAD10"	687	749	265	213	172	174	228	125	774	369	414	751	2685	2549	547
"ACAD10_18"	"ACAD10"	1583	1697	2599	1401	848	1236	999	1150	1347	762	1015	1271	2985	1178	1182
"ACAD10_3"	"ACAD10"	830	736	573	532	395	366	487	413	1618	480	790	1582	813	845	214
"ACAD10_5"	"ACAD10"	1058	1223	2251	1893	1237	1325	1761	1681	2634	1399	805	1514	199	733	153
"ACAD10_6"	"ACAD10"	491	336	636	469	367	650	462	508	761	857	1256	1085	0	98	645
"ACAD10_7"	"ACAD10"	1541	1702	3447	2562	1653	1879	2605	3042	4751	1262	1804	2013	1045	1350	601
"ACAT2_10"	"ACAT2"	2877	3205	6310	4069	2536	3174	3667	3568	4687	2669	2037	3654	2286	2535	1754
"ACAT2_11"	"ACAT2"	757	696	382	198	176	249	122	138	1063	1047	844	760	96	1138	173
"ACAT2_3"	"ACAT2"	1934	2031	1392	761	611	561	311	439	5965	3247	2924	7270	2038	1906	433
"ACAT2_4"	"ACAT2"	1139	1073	691	463	480	355	395	433	1339	714	1292	2580	1403	1938	369
"ACAT2_5"	"ACAT2"	1377	1248	2129	1432	1044	969	1374	1665	2397	1521	2064	3209	260	561	922
"ACAT2_6"	"ACAT2"	2577	3152	3785	2547	2039	2139	3086	3111	5561	2904	3522	4087	1063	3524	3042
"ACBD3_10"	"ACBD3"	592	551	1349	914	614	636	891	1006	507	212	514	333	43	553	65
"ACBD3_11"	"ACBD3"	598	639	1132	570	343	369	180	261	492	278	110	340	1976	834	385
"ACBD3_12"	"ACBD3"	889	1182	608	255	303	328	364	257	1463	1436	1769	2687	219	725	133
"ACBD3_2"	"ACBD3"	1758	2141	3758	2383	1716	1696	2514	2890	4881	1599	1438	2820	1399	757	529
"ACBD3_3"	"ACBD3"	2671	2532	6002	3589	3318	2995	2911	3433	8297	5585	3174	3652	1544	2159	1229
"ACBD3_5"	"ACBD3"	818	871	898	687	273	570	219	418	1129	195	261	682	1149	1598	714
"ACE2_10"	"ACE2"	1187	1348	10963	5453	3258	3612	8595	8751	1919	858	517	1387	381	967	472
"ACE2_11"	"ACE2"	482	655	2900	1410	793	664	1490	1182	483	277	212	301	70	226	53
"ACE2_4"	"ACE2"	1194	1126	6530	3733	2242	2495	4896	5983	1222	705	590	709	1527	1975	1497
"ACE2_5"	"ACE2"	3016	3106	19470	12449	6706	6453	15052	15601	3066	1350	1291	1231	8405	5340	5039
"ACE2_7"	"ACE2"	654	714	4249	2627	1609	1845	4042	4064	1296	797	463	882	662	651	665
"ACE2_9"	"ACE2"	1020	999	4514	3561	2022	2043	4758	4172	879	749	514	804	289	578	1182
"ACIN1_1"	"ACIN1"	586	436	145	60	72	31	78	44	225	81	181	286	1864	4992	507
"ACIN1_2"	"ACIN1"	283	238	83	74	62	119	72	46	181	156	184	75	2186	455	0
"ACIN1_3"	"ACIN1"	499	547	479	468	311	221	379	421	296	63	243	244	688	362	76
"ACIN1_6"	"ACIN1"	1053	948	1616	888	754	451	860	602	1000	339	122	407	1030	958	1092
"ACIN1_7"	"ACIN1"	840	975	493	294	277	468	250	292	1255	580	371	1011	313	1590	1105
"ACIN1_8"	"ACIN1"	1652	1851	2976	1918	1135	1549	1247	1304	8240	3212	1352	4255	1207	1479	1395
"ACLY_2"	"ACLY"	1105	1334	1167	708	583	685	630	704	4861	1707	1583	1548	602	663	1085
"ACLY_4"	"ACLY"	164	265	125	103	90	108	84	78	20	152	146	363	25	610	51
"ACLY_5"	"ACLY"	529	401	752	420	337	431	263	568	1219	181	300	309	1	289	344
"ACLY_6"	"ACLY"	897	872	1592	827	656	562	661	886	466	425	663	460	975	1094	904
"ACLY_7"	"ACLY"	2068	2074	4192	2872	1806	1907	2147	2970	4215	2958	2007	3263	524	2342	4662
"ACLY_8"	"ACLY"	1198	1149	799	277	167	406	432	299	1940	737	749	522	2177	1585	1014
"ACP1_16"	"ACP1"	2079	2195	2559	1465	1046	1316	1442	1266	3204	1075	1132	1217	3287	5358	1952
"ACP1_21"	"ACP1"	1744	2065	2553	1194	1088	915	1222	1131	3516	1636	2102	2322	1281	1328	919
"ACP1_23"	"ACP1"	1115	1028	1894	1143	667	927	1410	1273	1103	984	1479	1142	421	1171	430
"ACP1_4"	"ACP1"	1844	1802	4259	2220	1962	2311	1927	1896	5463	2193	1673	1951	3727	1970	1048
"ACP1_7"	"ACP1"	746	744	975	756	374	699	479	655	807	273	324	82	1818	1588	1145
"ACP1_8"	"ACP1"	1337	1279	1754	1360	706	905	1070	1199	1597	1028	566	1645	4583	1471	1075
"ACSL4_1"	"ACSL4"	890	832	1281	705	770	630	1191	1235	743	207	180	260	84	956	1580
"ACSL4_10"	"ACSL4"	1324	1185	1766	1243	1122	1200	603	629	3641	1389	1590	3317	97	972	391
"ACSL4_12"	"ACSL4"	796	664	2040	1173	1097	700	1233	1224	1786	1284	532	1539	190	684	475
"ACSL4_2"	"ACSL4"	340	449	539	294	206	445	464	409	997	316	156	491	54	116	54
"ACSL4_4"	"ACSL4"	1496	1798	3233	2757	1731	1593	2331	1868	2968	2122	1246	2363	107	623	779
"ACSL4_6"	"ACSL4"	1520	1769	1177	1165	1062	1160	799	959	2385	1800	1284	1275	737	2591	2824
"ACTA1_10"	"ACTA1"	825	980	1564	545	738	815	1006	1050	2226	726	689	1679	457	554	1621
"ACTA1_3"	"ACTA1"	398	764	305	195	75	139	95	169	1045	575	454	1108	967	390	1050
"ACTA1_4"	"ACTA1"	1853	2007	2034	1791	1198	1395	1631	1422	2677	1539	1778	1308	5314	3677	2347
"ACTA1_6"	"ACTA1"	3796	4106	6107	4037	2740	2665	3762	3757	4598	2561	3013	4719	4437	4593	3702
"ACTA1_7"	"ACTA1"	2884	2922	4911	3064	2481	2276	4038	3873	4909	2461	2705	4274	5151	3008	2075
"ACTA1_9"	"ACTA1"	2823	3652	8880	5674	3775	3263	5071	5842	2536	1596	1257	1827	4384	2272	3101
"ACTC1_10"	"ACTC1"	1135	1072	810	772	529	572	287	525	854	593	371	657	148	859	333
"ACTC1_12"	"ACTC1"	2190	2377	3580	2543	1562	1505	2066	2043	3885	1599	1375	2039	775	1377	662
"ACTC1_2"	"ACTC1"	411	383	206	158	117	121	160	159	474	27	237	71	2	138	162
"ACTC1_4"	"ACTC1"	1838	2028	1126	1067	1004	738	613	749	5431	1902	1970	3710	582	1332	1169
"ACTC1_7"	"ACTC1"	286	325	179	99	86	193	97	152	1110	482	0	778	247	527	115
"ACTC1_9"	"ACTC1"	2159	2366	7012	4079	2904	3146	3692	3933	4403	1844	1889	2799	1438	368	474
"ACTG1_10"	"ACTG1"	611	660	771	518	310	427	309	545	509	164	39	129	4	254	408
"ACTG1_13"	"ACTG1"	225	313	261	79	85	103	67	99	684	72	91	125	305	69	0
"ACTG1_20"	"ACTG1"	321	229	369	227	226	259	190	216	516	69	132	219	3	197	174
"ACTG1_5"	"ACTG1"	1239	1230	4647	2238	1922	1933	1685	1868	3626	1776	1283	2266	79	299	143
"ACTG1_6"	"ACTG1"	289	324	781	377	330	293	353	282	1002	624	250	281	141	200	214
"ACTG1_9"	"ACTG1"	543	497	578	203	226	232	389	451	538	239	317	309	114	191	392
"ACTN1_1"	"ACTN1"	748	886	2205	1277	802	1122	836	819	1389	1471	789	1334	3273	1533	457
"ACTN1_2"	"ACTN1"	1734	1806	3273	2095	1711	1583	2390	2262	3213	1814	1505	2648	4303	2886	2714
"ACTN1_3"	"ACTN1"	909	1041	1378	751	566	508	576	507	1012	356	326	811	724	1148	1666
"ACTN1_4"	"ACTN1"	945	860	1919	1091	672	898	1295	1505	933	142	459	1118	7	380	156
"ACTN1_7"	"ACTN1"	972	1100	822	598	525	578	368	348	1085	868	1085	1023	1051	2236	838
"ACTN1_8"	"ACTN1"	1122	1126	1219	523	519	430	738	770	1884	694	1514	745	1986	1203	1023
"ACTN3_1"	"ACTN3"	1496	1547	1726	1537	1044	956	840	945	2163	1034	1488	2003	222	1054	1678
"ACTN3_2"	"ACTN3"	794	864	1449	1467	1130	859	1066	1230	3277	2034	1557	1391	135	379	49
"ACTN3_3"	"ACTN3"	1391	1339	2423	1755	1467	1434	1857	2365	2073	1036	1118	1559	1964	2082	1183
"ACTN3_4"	"ACTN3"	1107	1247	556	395	459	323	329	534	1313	1213	1091	1854	1051	1869	3545
"ACTN3_5"	"ACTN3"	1857	1985	1357	774	653	816	399	691	3213	1859	2794	3646	5267	2301	1094
"ACTN3_6"	"ACTN3"	2467	2183	2232	1442	894	1156	1635	1665	5314	1654	1773	3653	5275	5618	2135
"ACTN4_10"	"ACTN4"	846	813	1339	446	1028	468	870	673	608	182	61	335	873	1644	164
"ACTN4_13"	"ACTN4"	2532	2297	3295	2150	1190	1426	2056	2397	1810	1308	1170	2969	6178	4509	3974
"ACTN4_2"	"ACTN4"	2747	2480	3640	2463	1458	1639	1592	1948	1734	1197	1484	813	4223	5257	4554
"ACTN4_4"	"ACTN4"	1210	1266	668	549	403	357	315	289	653	481	375	528	1501	2505	2038
"ACTN4_7"	"ACTN4"	879	1185	1662	1024	780	859	932	648	864	332	261	217	209	564	1069
"ACTN4_9"	"ACTN4"	1133	976	1424	555	396	496	649	933	878	287	397	565	724	1964	1035
"ACTR1A_10"	"ACTR1A"	334	422	49	86	39	43	25	9	311	250	376	286	999	549	134
"ACTR1A_12"	"ACTR1A"	1232	1336	1041	1004	795	662	716	729	2391	981	1031	1213	3544	1767	590
"ACTR1A_2"	"ACTR1A"	885	1282	1867	1146	733	859	1031	1064	1557	664	1540	1465	758	788	350
"ACTR1A_5"	"ACTR1A"	1144	986	2126	1204	947	1247	1204	1415	564	672	1173	920	19	449	151
"ACTR1A_7"	"ACTR1A"	947	983	1145	698	495	420	583	604	472	393	751	762	558	1113	357
"ACTR1A_9"	"ACTR1A"	1394	1463	3674	1969	1585	1718	2311	2724	3252	1145	2065	1863	49	549	520
"ACTR2_1"	"ACTR2"	64	162	734	524	296	296	567	550	171	209	61	501	1	61	5
"ACTR2_2"	"ACTR2"	119	98	94	21	86	23	28	28	103	32	132	27	70	61	96
"ACTR2_3"	"ACTR2"	314	298	659	247	171	243	189	285	1519	342	1118	363	83	282	179
"ACTR2_5"	"ACTR2"	89	62	92	32	8	15	45	15	98	40	0	6	5	57	0
"ACTR2_6"	"ACTR2"	289	229	260	154	140	161	203	176	189	93	136	19	8	72	302
"ACTR2_7"	"ACTR2"	369	360	1477	701	318	474	777	819	510	187	295	522	41	130	57
"ACTR3_12"	"ACTR3"	80	27	172	51	29	79	91	71	147	78	0	10	2	11	4
"ACTR3_3"	"ACTR3"	276	310	44	156	34	64	28	56	356	271	268	117	399	531	53
"ACTR3_4"	"ACTR3"	169	250	84	123	88	74	80	170	88	18	0	30	163	566	289
"ACTR3_5"	"ACTR3"	242	308	447	421	197	348	168	222	551	361	521	633	17	345	140
"ACTR3_6"	"ACTR3"	752	870	2032	1077	954	931	1320	1403	2074	1860	1459	1812	573	566	949
"ACTR3_7"	"ACTR3"	153	276	163	39	45	31	53	67	23	11	59	36	4	25	293
"ADAR_1"	"ADAR"	1895	1879	1677	1410	988	1139	918	1061	3364	2102	1463	2353	2314	1966	981
"ADAR_10"	"ADAR"	1573	1695	3599	2054	1155	1481	1550	1603	4103	1513	1288	2312	426	1160	972
"ADAR_3"	"ADAR"	1890	2249	2297	1284	959	1263	1450	1858	8826	4928	6003	9843	748	615	1308
"ADAR_6"	"ADAR"	811	972	1125	674	525	635	696	866	2255	981	1313	1990	321	249	262
"ADAR_8"	"ADAR"	2087	2313	3004	2141	1635	1961	1530	1660	5257	3112	1014	2672	4328	3406	783
"ADAR_9"	"ADAR"	1156	958	1782	1266	829	803	1187	1307	2650	3652	1145	4073	131	1024	560
"ADH5_1"	"ADH5"	854	760	1275	508	471	445	525	478	695	379	162	1359	310	969	219
"ADH5_3"	"ADH5"	955	996	1032	863	495	702	829	722	1612	994	552	1650	496	638	667
"ADH5_4"	"ADH5"	727	737	1123	1009	385	753	802	951	1654	1176	1047	1684	1583	1374	311
"ADH5_6"	"ADH5"	674	731	1355	712	705	555	665	804	1197	560	365	84	6	65	212
"ADH5_7"	"ADH5"	252	311	202	138	97	82	130	70	110	252	175	556	12	127	114
"ADH5_8"	"ADH5"	708	754	667	358	231	317	432	357	1855	697	763	322	770	2055	1000
"ADRM1_10"	"ADRM1"	288	265	532	201	238	111	274	300	1060	460	140	663	156	159	117
"ADRM1_13"	"ADRM1"	296	220	296	51	138	127	103	246	216	217	0	133	284	470	173
"ADRM1_14"	"ADRM1"	71	85	116	106	24	94	45	108	61	119	19	24	2	65	0
"ADRM1_2"	"ADRM1"	111	155	88	29	18	70	11	18	56	25	45	82	4	52	161
"ADRM1_3"	"ADRM1"	227	189	204	197	79	112	114	121	1	52	60	214	234	424	692
"ADRM1_6"	"ADRM1"	404	476	610	435	355	350	255	340	196	56	0	260	168	493	163
"ADSL_1"	"ADSL"	1116	1178	970	715	497	660	448	688	515	331	234	631	2630	1044	682
"ADSL_14"	"ADSL"	544	731	769	366	420	433	233	161	503	359	253	414	236	780	302
"ADSL_3"	"ADSL"	274	317	235	248	116	177	108	126	689	329	124	492	31	297	28
"ADSL_4"	"ADSL"	62	61	5	35	30	11	19	15	0	63	97	48	536	23	0
"ADSL_6"	"ADSL"	1834	1975	3500	2186	1703	1571	2059	2504	3221	1317	566	2034	110	1033	1173
"ADSL_8"	"ADSL"	1291	1227	1949	1321	937	1085	1331	1091	2818	1930	2027	1431	728	395	534
"ADSS2_1"	"ADSS2"	752	1047	1324	816	766	587	865	659	2211	1196	797	1690	117	630	345
"ADSS2_2"	"ADSS2"	395	518	704	448	406	285	348	448	1403	351	380	405	13	216	44
"ADSS2_3"	"ADSS2"	1213	1242	1668	971	881	728	557	1003	2784	844	1070	1316	513	1273	1000
"ADSS2_4"	"ADSS2"	501	407	141	161	210	165	306	246	823	452	405	452	179	878	454
"ADSS2_5"	"ADSS2"	1437	1203	1675	1243	1189	1062	1152	1021	1321	710	587	1531	2915	1640	517
"ADSS2_6"	"ADSS2"	1348	1576	2150	1800	1506	1141	1559	1727	2701	1026	1260	1699	381	1101	468
"AGL_10"	"AGL"	665	791	711	360	300	398	287	300	407	540	341	380	621	906	554
"AGL_5"	"AGL"	1274	1395	2168	1497	1082	1108	1368	1427	1173	873	376	1301	1925	1262	1041
"AGL_6"	"AGL"	1871	1655	3230	2034	1426	1857	1045	1357	3021	2660	983	1547	2063	2075	1305
"AGL_7"	"AGL"	2460	3202	6306	3854	2840	3720	2388	2806	3810	1683	1220	3069	261	1598	761
"AGL_8"	"AGL"	961	932	1451	924	532	582	637	788	1303	886	732	1074	14	189	183
"AGL_9"	"AGL"	770	667	664	418	335	301	387	506	772	1179	658	324	233	290	194
"AGO1_1"	"AGO1"	943	827	2076	1080	843	905	888	1122	962	501	200	654	10	204	929
"AGO1_2"	"AGO1"	933	919	1437	1058	592	862	1007	1033	980	376	254	697	204	639	565
"AGO1_3"	"AGO1"	1723	1748	2099	1494	1210	1238	1061	1275	4189	3357	1513	4866	3018	1678	648
"AGO1_4"	"AGO1"	1395	1637	3402	1998	1806	1653	2059	2435	2834	995	1727	1705	1418	621	424
"AGO1_5"	"AGO1"	1114	1200	1985	1441	839	980	1050	1039	1471	626	610	952	2118	1677	606
"AGO1_6"	"AGO1"	835	922	1588	1139	751	809	824	767	924	952	471	1663	143	570	461
"AGO2_1"	"AGO2"	823	783	1684	943	681	559	850	875	655	272	489	472	387	680	587
"AGO2_2"	"AGO2"	2954	3002	4012	3501	2087	2344	2851	2723	2596	1504	1202	1513	6651	2945	2124
"AGO2_3"	"AGO2"	1332	1408	2197	1584	926	894	951	1027	1446	673	1421	1115	910	705	1302
"AGO2_4"	"AGO2"	811	627	487	428	228	310	133	156	572	240	198	121	466	1430	1009
"AGO2_5"	"AGO2"	1177	1234	1675	1886	831	1178	1625	1610	2273	1340	991	833	1967	836	1139
"AGO2_6"	"AGO2"	734	908	793	593	495	378	400	556	1066	408	406	569	3343	1330	1485
"AGR2_1"	"AGR2"	325	350	281	186	79	111	81	126	181	211	146	167	3	409	151
"AGR2_2"	"AGR2"	1206	1232	2107	1216	1061	1252	1400	1183	1737	918	1538	1600	274	683	292
"AGR2_3"	"AGR2"	938	782	702	316	417	366	431	371	504	470	251	419	173	752	177
"AGR2_4"	"AGR2"	530	553	820	352	318	321	443	402	1356	330	356	411	803	105	606
"AGR2_5"	"AGR2"	835	823	1216	834	662	914	741	888	744	488	618	908	660	413	130
"AGR2_6"	"AGR2"	2156	2253	3426	1872	1760	1700	1369	1489	4464	2635	1349	2806	1666	1269	285
"AHCY_11"	"AHCY"	1215	1509	1024	759	789	761	863	747	3731	2053	1407	3372	687	1981	1092
"AHCY_14"	"AHCY"	1318	1256	1019	661	493	735	624	450	4625	1808	1464	2225	4665	2299	498
"AHCY_6"	"AHCY"	2935	3388	4901	3461	2610	2506	2312	2052	6132	3768	3721	5516	3428	3393	4217
"AHCY_7"	"AHCY"	2052	2104	3232	1897	1245	1285	1625	1722	4475	1904	1295	2922	1752	2195	2992
"AHCY_8"	"AHCY"	729	794	2012	1142	907	836	931	856	1922	985	841	1474	1959	904	483
"AHCY_9"	"AHCY"	1124	1149	1234	707	652	588	610	634	1942	1285	1479	2213	1423	1396	1550
"AHNAK_2"	"AHNAK"	840	1035	627	420	230	377	530	475	1642	967	1982	1658	1296	972	2038
"AHNAK_3"	"AHNAK"	546	719	667	454	328	503	379	509	373	423	980	869	46	475	0
"AHNAK_5"	"AHNAK"	2591	2718	2771	1732	975	1028	1722	1579	5218	2184	2109	3083	720	2532	2003
"AHNAK_6"	"AHNAK"	1023	1088	1648	1146	618	1190	956	1217	1403	1662	485	834	1559	1848	1381
"AHNAK_7"	"AHNAK"	634	543	780	484	233	395	415	531	407	436	455	527	168	1487	285
"AHNAK_8"	"AHNAK"	2507	3122	4977	2812	2224	2347	1901	1766	6151	3452	1848	2469	2454	2289	2113
"AHSA1_1"	"AHSA1"	1432	1431	2459	1384	1162	1027	1622	1552	4354	3478	3073	6372	5327	3056	1760
"AHSA1_2"	"AHSA1"	1255	1155	1355	1078	617	993	1449	1488	2746	2252	2373	2420	1286	503	816
"AHSA1_3"	"AHSA1"	1184	1324	507	232	279	321	270	319	1123	875	738	1497	462	2071	4537
"AHSA1_4"	"AHSA1"	1120	1129	1902	1440	809	812	1593	1676	3921	1643	2029	2226	858	548	51
"AHSA1_5"	"AHSA1"	613	782	282	215	152	219	186	220	1020	415	410	1049	1532	1498	504
"AHSA1_6"	"AHSA1"	1836	2523	2756	1879	1172	1412	1505	1681	5221	1758	1341	2383	1871	1932	799
"AHSG_12"	"AHSG"	2129	2553	4751	2950	1756	2497	2559	3091	5450	2109	2277	3790	3046	918	1027
"AHSG_14"	"AHSG"	1618	1838	1474	1187	842	807	890	958	2304	975	886	2257	6209	3420	2771
"AHSG_15"	"AHSG"	2075	2517	6901	3745	2498	2940	3837	3860	6412	2427	3643	5242	1335	953	1304
"AHSG_18"	"AHSG"	958	1108	743	504	378	339	636	520	564	420	527	277	1166	780	414
"AHSG_20"	"AHSG"	1605	1708	1907	1231	822	1100	1145	1313	1796	1001	1009	1372	549	1180	1687
"AHSG_6"	"AHSG"	1400	1644	2397	1498	1432	1482	1726	1931	4183	1588	1672	1575	1204	1454	1522
"AIMP1_10"	"AIMP1"	2376	2530	5801	3240	2544	2504	4730	4592	5587	2901	2723	5543	1788	1957	2333
"AIMP1_2"	"AIMP1"	1094	1361	1723	928	673	574	950	712	1966	419	1080	1674	1264	505	658
"AIMP1_3"	"AIMP1"	823	762	730	348	207	380	437	456	664	263	589	709	1117	1051	417
"AIMP1_4"	"AIMP1"	294	324	155	94	115	70	169	121	186	127	215	558	6	377	237
"AIMP1_5"	"AIMP1"	1564	1532	2870	1694	963	1122	1345	1638	1835	558	454	392	3649	2344	1888
"AIMP1_6"	"AIMP1"	868	926	517	532	266	397	324	366	2276	794	1359	2460	1387	1541	232
"AIMP2_1"	"AIMP2"	518	598	305	400	306	263	260	306	1304	890	2148	1682	271	99	236
"AIMP2_11"	"AIMP2"	675	606	819	446	143	335	273	316	470	342	127	271	766	3165	1891
"AIMP2_15"	"AIMP2"	2334	2002	2494	1743	1118	1113	1491	1450	2706	943	1250	1842	838	1412	1790
"AIMP2_20"	"AIMP2"	706	993	905	469	336	502	324	454	1186	362	765	563	600	1043	367
"AIMP2_6"	"AIMP2"	1566	1698	1561	1267	749	1230	1374	1329	3429	1443	1780	2365	3518	3511	1232
"AIMP2_8"	"AIMP2"	1756	1555	2708	2087	1343	1597	1500	1791	1325	974	709	1425	1830	2156	1177
"AIP_1"	"AIP"	4974	6418	6807	4175	2792	3685	3024	3483	15689	7458	7049	11557	4284	4441	4740
"AIP_10"	"AIP"	2902	3081	5885	3549	2392	3105	2790	2817	7740	4894	2901	4006	3043	3673	3591
"AIP_14"	"AIP"	3090	3345	4101	2937	2622	2562	1912	2555	9024	5432	3352	4647	2295	1507	1675
"AIP_4"	"AIP"	2198	2388	6071	3160	2382	2423	3786	4784	3383	1322	1709	1717	1694	2577	4067
"AIP_5"	"AIP"	3996	4401	4650	3389	2094	2606	2677	3056	8266	4274	4168	5326	1527	3051	3331
"AIP_6"	"AIP"	2897	3316	3611	2677	1935	2276	2511	2480	11833	6736	6168	10595	2146	1196	2076
"AK1_11"	"AK1"	1073	1184	1230	1003	689	738	762	1122	1764	1549	621	2905	489	521	336
"AK1_15"	"AK1"	784	723	943	448	547	547	334	678	1013	159	483	791	970	878	1123
"AK1_2"	"AK1"	1183	1065	1032	645	381	497	317	481	747	362	142	1572	2328	1374	937
"AK1_4"	"AK1"	553	580	280	170	166	177	193	147	504	584	261	406	766	623	1214
