"sgRNA"	"Gene"	"exp_mock_1"	"exp_mock_2"	"exp_rcVSV_1"	"exp_rcVSV_2"	"exp_hku5_1"	"exp_hku5_2"	"exp_sars2_1"	"exp_sars2_2"	"exp_mers_1"	"exp_mers_2"	"exp_t1015n_1"	"exp_t1015n_2"	"exp_emcv_1"	"exp_emcv_2"	"exp_iav_1"
"FMR1_5"	"FMR1"	810	800	840	456	484	574	448	764	1668	753	1027	1138	77	239	57
"FMR1_6"	"FMR1"	1599	1659	3922	2583	1328	1654	2773	2712	2979	1240	862	1270	3245	4403	2259
"FMR1_9"	"FMR1"	134	139	346	148	178	186	224	245	250	84	10	42	225	85	284
"FSCN1_1"	"FSCN1"	2773	2965	3348	2213	1295	1461	1539	1632	1788	832	1216	1897	2823	3024	1659
"FSCN1_10"	"FSCN1"	1779	1794	2237	1638	976	974	1339	1277	2100	1815	1452	1443	196	720	815
"FSCN1_3"	"FSCN1"	1505	1630	2285	1704	1159	1005	1341	1401	1887	965	942	1581	2911	3462	2861
"FSCN1_4"	"FSCN1"	2650	2931	4945	2996	1938	2184	2874	2317	5690	2937	2938	8066	82	1203	738
"FSCN1_7"	"FSCN1"	1154	1269	2615	1914	917	1000	1375	1494	1217	901	980	728	732	423	1001
"FSCN1_8"	"FSCN1"	2583	2796	3325	2329	1518	1856	1514	1752	8774	4187	3741	6632	1334	2744	1660
"FTSJ2_1"	"FTSJ2"	1757	2136	3451	1734	1535	1671	1920	1363	3310	2162	1934	1557	1762	993	2201
"FTSJ2_2"	"FTSJ2"	1186	1412	1655	1291	1084	870	1339	889	2548	1636	1329	3255	2733	3153	1471
"FTSJ2_3"	"FTSJ2"	2050	2277	8549	4419	3276	3158	4060	4624	8422	2195	2163	4276	2947	3147	1770
"FTSJ2_4"	"FTSJ2"	2027	2111	4710	3084	2617	1872	2831	3227	1959	1284	1123	1571	428	798	1902
"FTSJ2_5"	"FTSJ2"	4367	4424	5637	4036	3239	2955	4634	3876	7218	3821	2814	5132	2914	4872	2225
"FTSJ2_6"	"FTSJ2"	381	436	400	361	489	269	266	170	651	149	280	151	76	84	51
"FUBP1_1"	"FUBP1"	1458	1677	3694	2845	1327	1902	2365	2701	3086	1304	1589	2650	183	1133	1910
"FUBP1_2"	"FUBP1"	816	796	595	629	443	489	442	543	1081	426	801	838	1710	1035	105
"FUBP1_6"	"FUBP1"	1740	1854	1669	890	815	1121	808	977	1688	711	1940	1709	6628	2870	1062
"FUBP1_7"	"FUBP1"	2071	2245	1841	1703	1056	1266	1107	1171	3437	1407	2211	1908	935	1955	304
"FUBP1_8"	"FUBP1"	1290	1157	3607	1864	1400	1174	1669	1927	4694	2831	2126	2872	263	607	204
"FUBP1_9"	"FUBP1"	2268	2231	4705	2944	1996	2112	3216	3717	3455	1887	1315	2055	1407	2077	1836
"FUBP3_1"	"FUBP3"	1437	1610	4113	1541	1193	1450	1810	1690	2809	1579	1168	1708	594	453	1445
"FUBP3_3"	"FUBP3"	1387	1617	1760	960	588	834	959	955	4083	1936	2344	2621	521	1777	2361
"FUBP3_4"	"FUBP3"	1512	1378	1504	614	612	826	1134	1063	1398	2010	931	1449	1809	2392	1760
"FUBP3_6"	"FUBP3"	2496	3642	4729	3197	1807	2271	2855	2714	4962	1865	1435	2417	1393	4488	1267
"FUBP3_7"	"FUBP3"	1018	1215	1085	616	505	614	743	952	4502	2832	3148	3958	130	171	183
"FUBP3_9"	"FUBP3"	3541	3767	3610	2840	1769	2215	1706	1815	3953	2005	1547	2246	2695	2391	1007
"FUS_10"	"FUS"	903	841	430	448	398	295	391	346	872	518	229	523	2158	1588	767
"FUS_3"	"FUS"	355	274	405	330	294	304	321	388	146	36	131	226	6	127	0
"FUS_4"	"FUS"	626	800	1042	792	550	463	492	645	1208	767	881	603	53	635	541
"FUS_5"	"FUS"	941	1054	555	283	301	457	191	246	1549	816	936	898	1151	1301	2837
"FUS_7"	"FUS"	1117	1347	876	361	331	399	365	468	1560	641	242	833	748	794	783
"FUS_8"	"FUS"	830	872	1668	1105	690	946	923	981	5131	3255	2753	2658	200	236	300
"FXN_16"	"FXN"	184	242	605	117	95	198	85	120	242	234	210	106	19	33	21
"FXN_17"	"FXN"	211	222	746	460	333	220	638	706	78	47	76	245	0	15	92
"FXN_27"	"FXN"	814	893	574	396	308	340	340	443	672	718	244	1069	789	1002	994
"FXN_3"	"FXN"	495	446	184	265	173	210	125	176	1176	542	285	202	82	899	582
"FXN_4"	"FXN"	76	47	299	117	80	91	127	240	269	165	20	180	9	103	1
"FXN_7"	"FXN"	1284	1359	2626	1909	1109	1257	1364	1688	2394	1108	544	1485	1262	605	378
"FXR1_10"	"FXR1"	1042	900	1839	882	956	697	1004	1019	954	324	391	568	425	548	500
"FXR1_3"	"FXR1"	1372	1715	1747	987	776	795	1125	883	2820	1057	914	2622	6067	3707	5293
"FXR1_4"	"FXR1"	345	359	267	295	64	146	239	243	92	27	262	136	100	327	306
"FXR1_5"	"FXR1"	809	832	680	553	402	489	540	509	793	790	572	868	278	1236	917
"FXR1_6"	"FXR1"	2142	2058	3884	2574	1858	1916	2863	3357	1222	1098	627	997	3788	1259	2389
"FXR1_9"	"FXR1"	2303	2547	3244	2581	1855	1987	2079	2341	3849	1430	2132	2072	947	2270	1236
"FXR2_1"	"FXR2"	1226	1124	3056	1674	916	960	1959	1760	1406	1044	873	1287	115	516	2008
"FXR2_2"	"FXR2"	3805	4315	13030	8548	6227	6681	7377	8925	15695	10141	11634	12070	2937	3087	2725
"FXR2_3"	"FXR2"	2144	2395	7362	4100	3225	3539	4600	4876	3786	1034	403	502	1284	1586	2135
"FXR2_5"	"FXR2"	1826	1715	3184	2171	1687	1957	2080	1766	4249	3171	2390	4709	2692	1484	1277
"FXR2_6"	"FXR2"	1470	1466	2853	2210	1449	1417	1669	2176	1256	1147	538	1154	13	557	471
"FXR2_7"	"FXR2"	933	1131	1046	647	461	531	595	841	1777	538	535	1357	1019	1294	1110
