"sgRNA"	"Gene"	"mito_mock_1"	"mito_mock_2"	"mito_rcVSV_1"	"mito_rcVSV_2"	"mito_hku5_1"	"mito_hku5_2"	"mito_sars2_1"	"mito_sars2_2"	"mito_mers_1"	"mito_mers_2"	"mito_t1015n_1"	"mito_t1015n_2"	"mito_emcv_1"	"mito_emcv_2"	"mito_iav_1"	"mito_iav_2"
"COX6B2_6"	"COX6B2"	2361	2828	1205	4668	3704	3486	3486	4884	3214	1847	3405	2988	3377	1009	2088	4409
"COX6C_1"	"COX6C"	2291	2552	1421	4284	3724	4317	3012	3098	2047	1332	1349	1455	1161	802	1510	1746
"COX6C_2"	"COX6C"	1105	1019	348	1633	861	1031	860	1154	705	471	812	377	612	63	561	425
"COX6C_3"	"COX6C"	1257	1315	388	1115	881	919	911	1078	1212	482	997	937	3215	410	1622	1408
"COX6C_4"	"COX6C"	945	1241	608	2229	1084	1635	1496	1827	705	454	603	935	1219	411	1101	792
"COX6C_5"	"COX6C"	1336	1505	414	1741	1211	1189	811	1181	1070	627	1257	1319	3937	1164	2747	203
"COX6C_6"	"COX6C"	898	1093	398	1364	880	1367	598	1161	1198	766	783	586	324	48	1271	146
"COX7A1_1"	"COX7A1"	1001	1478	473	1878	860	1604	729	1470	815	530	1094	583	4109	342	930	227
"COX7A1_2"	"COX7A1"	2010	2544	742	2975	2162	2206	1863	2156	2393	1479	1839	2060	6011	1646	1286	2634
"COX7A1_3"	"COX7A1"	1740	1892	684	1963	1382	1919	1651	1660	1848	1571	1515	2105	4281	375	589	349
"COX7A1_4"	"COX7A1"	3246	3593	1926	6245	3207	5467	3442	4525	3355	1626	2444	2636	5303	2243	3211	3756
"COX7A1_5"	"COX7A1"	323	291	80	276	205	86	190	122	123	41	55	72	1	48	53	23
"COX7A1_6"	"COX7A1"	1498	1649	239	1168	853	804	566	1017	1151	741	1045	1524	3008	1873	1350	670
"COX7A2_1"	"COX7A2"	1870	1670	1188	2805	1580	3174	2662	4077	2646	1696	1559	2387	8606	1093	1350	2498
"COX7A2_2"	"COX7A2"	1950	2109	827	2737	1935	2543	1854	1630	1418	1336	3011	2618	3716	1359	816	1259
"COX7A2_3"	"COX7A2"	422	498	177	507	447	398	351	387	650	450	1026	273	186	84	428	482
"COX7A2_4"	"COX7A2"	1288	1759	730	2287	1931	1895	1640	1715	3037	1487	2447	2738	2281	227	1511	2104
"COX7A2_5"	"COX7A2"	1336	1675	1398	3279	2585	3513	2321	2830	3590	1501	1875	2219	2243	225	1024	153
