"sgRNA"	"Gene"	"mito_mock_1"	"mito_mock_2"	"mito_rcVSV_1"	"mito_rcVSV_2"	"mito_hku5_1"	"mito_hku5_2"	"mito_sars2_1"	"mito_sars2_2"	"mito_mers_1"	"mito_mers_2"	"mito_t1015n_1"	"mito_t1015n_2"	"mito_emcv_1"	"mito_emcv_2"	"mito_iav_1"	"mito_iav_2"
"AADAT_11"	"AADAT"	1014	1308	540	1869	1767	1905	1024	964	1236	875	2013	2003	308	81	700	124
"AADAT_14"	"AADAT"	1179	1408	628	1619	1614	1862	1111	1017	801	627	1006	729	1224	350	675	928
"AADAT_15"	"AADAT"	725	743	281	865	372	703	669	544	1243	185	799	1068	611	250	85	58
"AADAT_16"	"AADAT"	846	1159	296	1113	784	805	457	682	641	682	560	438	672	178	1354	184
"AADAT_3"	"AADAT"	570	648	163	563	400	497	717	589	504	439	402	418	1107	62	1709	59
"AADAT_5"	"AADAT"	651	836	174	508	642	443	522	639	422	750	544	637	899	166	314	36
"AARS2_1"	"AARS2"	717	1081	332	1519	988	974	1182	798	957	449	592	1037	239	155	662	3918
"AARS2_13"	"AARS2"	323	361	142	609	577	468	408	360	695	255	324	538	192	62	22	31
"AARS2_2"	"AARS2"	213	247	71	312	206	232	139	309	125	19	84	198	40	324	2	1
"AARS2_6"	"AARS2"	178	276	83	230	192	245	78	229	109	109	93	210	11	8	0	1
"AARS2_7"	"AARS2"	718	1249	550	1644	1246	1433	1244	1246	1043	441	469	335	970	710	745	96
"AARS2_9"	"AARS2"	404	488	201	710	852	704	453	307	312	267	237	60	2666	23	15	842
"AASS_10"	"AASS"	1262	1739	732	2517	1419	1849	1664	1826	1761	1406	1980	1894	1169	511	317	563
"AASS_11"	"AASS"	1459	1638	778	2273	1583	2199	1625	2430	2320	1071	1171	1159	1766	907	1402	1278
"AASS_4"	"AASS"	1093	1159	467	1694	1371	1953	1943	1223	1042	633	617	739	290	159	631	882
"AASS_5"	"AASS"	398	436	242	365	332	533	257	248	403	103	331	483	420	5	2298	501
"AASS_6"	"AASS"	911	1194	559	2437	1103	1827	1695	1699	953	647	746	465	734	306	1147	188
"AASS_7"	"AASS"	728	927	761	1841	894	1151	1454	1435	868	919	911	724	555	567	370	65
"ABAT_11"	"ABAT"	975	1186	436	1699	1379	1703	1740	1262	586	850	460	606	1361	370	1599	567
"ABAT_13"	"ABAT"	947	860	412	1208	709	1040	1274	1149	1641	1516	876	1133	370	258	601	14
"ABAT_4"	"ABAT"	1322	1779	268	1373	1261	1151	597	440	1013	766	477	782	3486	751	29656	3152
"ABAT_6"	"ABAT"	1219	1468	737	1441	1942	1977	1681	2443	1828	1417	2130	1107	281	308	1398	570
"ABAT_7"	"ABAT"	2510	3405	1412	4065	3359	4659	2608	3769	3216	1533	2911	2751	13164	2076	710	4979
"ABAT_8"	"ABAT"	560	457	157	816	642	397	464	407	1202	508	507	565	231	188	1464	8
"ABCB10_10"	"ABCB10"	1870	2183	1062	3480	2097	3287	3364	3154	2699	1031	1952	1468	9102	2051	916	1115
"ABCB10_11"	"ABCB10"	1653	1804	675	1882	1827	1574	1645	1674	1107	683	1297	1147	2156	478	673	1376
"ABCB10_2"	"ABCB10"	1731	2361	638	2748	2073	2574	1755	1656	2272	1271	1436	1861	573	211	976	1328
"ABCB10_5"	"ABCB10"	3233	4056	1809	5079	3788	4893	3383	4813	3790	2601	4236	3028	9607	1603	2764	2277
"ABCB10_7"	"ABCB10"	315	295	141	246	217	381	164	282	167	150	263	95	45	32	98	636
"ABCB10_8"	"ABCB10"	1151	1620	589	1116	1053	1176	1223	1577	1473	1026	1283	1185	3275	2556	526	574
"ABCB7_1"	"ABCB7"	283	416	534	1126	550	1304	979	837	1112	546	1466	680	1050	23	251	308
"ABCB7_2"	"ABCB7"	519	542	285	1204	897	1108	370	560	2048	440	281	946	529	86	223	30
"ABCB7_3"	"ABCB7"	396	277	111	410	408	370	167	261	2084	1864	603	670	5	250	100	146
"ABCB7_4"	"ABCB7"	1051	1246	824	2023	1739	2097	2038	1901	1316	1786	1713	1283	138	88	1168	1308
"ABCB7_5"	"ABCB7"	565	576	144	372	343	436	324	492	508	620	496	682	859	134	192	507
"ABCB7_6"	"ABCB7"	455	500	647	973	822	1311	1064	812	1196	932	1257	1290	165	7	13	59
"ABCB8_10"	"ABCB8"	1202	1807	652	2316	1678	2651	2165	1800	1567	1004	1548	1552	715	686	1391	401
"ABCB8_23"	"ABCB8"	1556	1959	840	2669	2025	2056	2475	2564	1464	426	1832	722	4885	734	1484	682
"ABCB8_24"	"ABCB8"	650	735	218	558	507	453	380	569	1381	571	955	900	2102	1726	676	498
"ABCB8_27"	"ABCB8"	688	1069	108	295	281	771	317	248	2496	1750	2011	1496	483	300	1199	1060
"ABCB8_29"	"ABCB8"	539	538	195	677	665	602	620	876	428	222	265	390	4367	157	99	405
"ABCB8_33"	"ABCB8"	787	678	596	1624	894	773	1756	1429	1210	427	877	556	224	629	503	7
"ABCD1_1"	"ABCD1"	1077	1217	650	2139	1257	1767	1053	1077	1435	701	1097	1174	7575	666	1018	137
"ABCD1_10"	"ABCD1"	1072	1117	533	1907	1192	1721	1362	1303	840	704	706	449	2288	863	619	978
"ABCD1_11"	"ABCD1"	1539	1906	1035	3909	3148	3163	2878	2732	4358	1870	2412	2790	2222	1373	940	1865
"ABCD1_2"	"ABCD1"	1300	1700	414	1188	829	1317	688	566	804	452	1238	989	577	156	616	110
"ABCD1_4"	"ABCD1"	748	888	428	1672	925	1203	1192	1055	422	270	709	791	2487	271	684	435
"ABCD1_6"	"ABCD1"	928	831	381	971	834	1138	1043	788	602	496	749	582	380	241	691	1332
"ABCG2_10"	"ABCG2"	926	1171	461	1293	1118	1333	988	1268	1266	695	901	682	936	623	200	824
"ABCG2_11"	"ABCG2"	1294	1335	447	1767	1682	1509	994	1173	1698	878	1890	2399	1568	1899	1271	1105
"ABCG2_4"	"ABCG2"	891	1209	485	1355	1037	1120	1004	917	454	471	634	499	316	658	827	528
"ABCG2_7"	"ABCG2"	661	766	388	910	702	512	791	1307	707	633	282	669	2346	1022	971	801
"ABCG2_8"	"ABCG2"	162	136	55	183	147	139	147	224	193	24	57	368	14	89	56	675
"ABCG2_9"	"ABCG2"	971	956	159	1082	601	710	553	539	249	327	276	221	7979	2189	901	1090
"ABHD10_2"	"ABHD10"	1818	1751	606	1884	1338	2014	2267	1340	1331	581	778	976	9148	802	2149	975
"ABHD10_3"	"ABHD10"	336	496	130	358	263	463	234	318	312	268	296	422	58	52	37	1
"ABHD10_5"	"ABHD10"	689	755	176	531	631	963	655	261	1007	391	797	740	565	426	348	128
"ABHD10_7"	"ABHD10"	764	964	551	1606	1195	1574	1778	1379	2355	1561	1606	1286	791	180	3078	3572
"ABHD10_8"	"ABHD10"	1023	1194	871	2339	1808	2135	2134	1247	2089	794	1628	1255	660	598	409	430
"ABHD10_9"	"ABHD10"	1337	1739	1135	3566	2433	3421	2617	2222	1704	949	1133	1394	138	39	838	741
"ABHD6_1"	"ABHD6"	2228	2711	1006	3752	2471	3387	2522	2890	3101	1410	2074	2249	12515	4173	1916	2441
"ABHD6_10"	"ABHD6"	821	1096	481	1415	743	1113	1039	963	2289	1212	594	1459	1625	1803	174	167
"ABHD6_2"	"ABHD6"	2130	2544	778	2633	2083	2571	1920	2138	1285	835	1767	1267	13439	2311	2151	4684
"ABHD6_3"	"ABHD6"	2012	2145	870	2351	1410	2813	3087	2823	2269	1457	873	965	1487	636	1962	757
"ABHD6_4"	"ABHD6"	611	665	416	1489	581	1790	1161	1553	614	322	678	187	631	338	1147	1573
"ABHD6_9"	"ABHD6"	2376	2713	1534	5673	3346	4089	3270	3393	1779	1425	1506	1466	7952	1124	2909	5188
"ABL1_1"	"ABL1"	520	391	58	398	432	428	230	421	916	326	478	267	2643	354	0	3
"ABL1_2"	"ABL1"	1336	1578	667	1879	1373	2036	2564	2142	978	373	848	377	3983	3480	3007	2745
"ABL1_4"	"ABL1"	1022	1375	921	2993	1776	2561	2653	2614	2474	767	1242	864	312	556	620	9
"ABL1_5"	"ABL1"	1461	1613	704	1941	1857	2113	1664	1895	1408	946	1300	1287	565	556	346	1669
"ABL1_6"	"ABL1"	780	1118	454	1223	759	1184	1737	1277	821	492	734	841	240	304	247	29
"ABL1_7"	"ABL1"	890	708	229	645	796	633	639	750	693	170	217	78	785	107	13	1
"ACAA2_12"	"ACAA2"	592	839	409	1750	1339	1150	1012	1188	121	103	273	652	430	139	288	304
"ACAA2_13"	"ACAA2"	992	935	239	1022	659	979	764	729	667	262	265	269	1967	457	1308	171
"ACAA2_3"	"ACAA2"	1787	1856	597	2110	1468	1555	1883	1092	1442	861	1127	1037	3856	1614	614	236
"ACAA2_7"	"ACAA2"	908	1308	309	1276	644	893	901	635	1038	571	1435	738	4322	1554	1518	274
"ACAA2_8"	"ACAA2"	809	1099	232	460	683	916	592	666	673	307	764	228	2107	740	1003	48
"ACAA2_9"	"ACAA2"	789	839	881	3166	1694	1822	2570	2384	1065	787	745	644	325	974	534	55
"ACAD8_12"	"ACAD8"	839	976	297	1307	617	590	508	600	455	404	474	551	463	713	630	289
"ACAD8_13"	"ACAD8"	772	1080	434	1116	1116	1234	1495	894	1563	579	890	512	1081	323	772	571
"ACAD8_18"	"ACAD8"	1396	1629	391	1215	1455	1748	1426	1727	1055	749	958	839	3634	1939	1653	1381
"ACAD8_2"	"ACAD8"	1364	1539	702	2215	1388	2376	1742	1808	1809	924	1399	1656	1681	1020	1003	3044
"ACAD8_22"	"ACAD8"	1282	1501	848	2345	2004	2395	1892	2191	962	739	1007	800	3044	489	732	1613
"ACAD8_7"	"ACAD8"	2116	2444	1419	4874	3111	4018	2781	2379	2973	1792	2513	2694	2696	2306	1727	96
"ACAD9_1"	"ACAD9"	400	481	161	378	249	347	295	431	169	418	582	314	189	29	1144	352
"ACAD9_2"	"ACAD9"	1782	2405	881	2921	2223	2604	2332	2971	2449	1801	2307	1822	2469	912	1859	3593
"ACAD9_3"	"ACAD9"	574	544	148	976	536	559	537	768	427	230	172	573	959	555	733	1436
"ACAD9_4"	"ACAD9"	2295	2205	1417	4492	2793	4019	3821	3690	1922	1430	1497	2232	1444	886	689	1954
"ACAD9_5"	"ACAD9"	1846	2206	1829	5260	2777	3613	3390	3052	4997	2065	5716	5436	2200	706	981	2592
"ACAD9_6"	"ACAD9"	1250	1408	442	1481	1561	1600	1489	1425	1457	1027	1263	1076	1920	29	1084	38
"ACADL_14"	"ACADL"	671	819	233	396	450	589	602	239	1330	554	881	1123	1170	337	182	1281
"ACADL_15"	"ACADL"	415	470	99	272	224	203	173	128	112	161	200	233	399	621	105	281
"ACADL_16"	"ACADL"	1739	1846	793	2578	1849	1887	2466	2774	1061	547	970	1079	4877	1656	2470	2794
"ACADL_20"	"ACADL"	704	669	271	848	971	1132	873	631	609	392	488	461	287	421	782	813
"ACADL_7"	"ACADL"	1277	1830	557	1244	859	1065	720	927	1824	1824	1948	2736	4260	787	3083	378
"ACADL_9"	"ACADL"	404	660	128	495	352	502	291	365	569	395	839	1296	58	90	388	14
"ACADS_1"	"ACADS"	1439	1822	1468	3700	2355	3186	3495	2656	2689	1504	2082	2023	158	131	999	2680
"ACADS_12"	"ACADS"	393	553	98	269	392	614	463	570	190	129	447	527	28	94	14	3
"ACADS_14"	"ACADS"	3411	4010	1791	6026	4680	5220	4285	3790	3010	1913	3105	3118	12098	2321	2918	6008
"ACADS_3"	"ACADS"	1864	2148	861	2813	2193	2725	1945	2236	1327	723	1409	916	8372	657	511	1376
"ACADS_5"	"ACADS"	1051	1179	749	2230	1280	1592	1599	1587	1968	665	2209	820	2142	209	1598	464
"ACADS_6"	"ACADS"	1169	1226	736	2444	1577	2323	1485	1542	1767	573	1302	1930	267	242	1322	639
"ACADSB_1"	"ACADSB"	1401	1524	701	2692	1499	2330	2068	2197	2330	777	1475	2292	439	1263	1737	901
"ACADSB_10"	"ACADSB"	688	1064	371	1530	960	1103	1322	1053	471	232	564	569	7005	2048	572	445
"ACADSB_11"	"ACADSB"	867	926	268	1109	741	902	875	575	872	411	664	1062	1152	89	1416	717
"ACADSB_12"	"ACADSB"	1496	1511	605	1797	1286	1939	1673	1181	1840	1040	1557	1683	2470	263	310	941
"ACADSB_3"	"ACADSB"	501	575	103	295	233	271	260	400	754	581	463	118	1258	167	32	183
"ACADSB_7"	"ACADSB"	1502	1584	660	2786	2185	2179	2017	1778	2714	1448	1284	1367	3264	653	653	228
"ACADVL_1"	"ACADVL"	1077	1370	286	1090	756	1149	946	1514	1181	806	846	1548	867	519	1574	3482
"ACADVL_2"	"ACADVL"	1531	1711	912	2318	2099	2704	1865	2009	1530	933	1149	1316	2700	451	2108	4635
"ACADVL_4"	"ACADVL"	846	820	359	1246	962	1327	839	944	1779	1961	1191	2293	342	129	340	63
"ACADVL_5"	"ACADVL"	1193	1119	301	1367	1194	953	713	812	1220	367	731	575	1121	109	495	34
"ACADVL_7"	"ACADVL"	815	1084	503	1327	1045	1730	1008	1387	667	347	682	1009	49	256	315	413
"ACADVL_8"	"ACADVL"	2067	2515	421	1992	1452	1475	1234	1290	1513	1234	1742	1129	4397	1421	2253	2543
"ACAT1_10"	"ACAT1"	1100	1434	632	2185	928	1086	1412	1686	1185	521	961	1072	1362	1017	1135	3185
"ACAT1_2"	"ACAT1"	741	871	388	1491	823	1393	1346	1085	1992	1110	1113	1426	1586	618	164	2133
"ACAT1_3"	"ACAT1"	905	1100	283	1196	878	911	842	1458	1104	1071	1984	1637	1806	81	631	865
"ACAT1_4"	"ACAT1"	535	1005	370	755	556	940	625	1148	1032	460	616	436	4094	444	136	151
"ACAT1_6"	"ACAT1"	835	969	731	2145	1602	1360	1378	2298	1923	470	1547	910	1884	375	127	10
"ACAT1_8"	"ACAT1"	816	916	615	1482	1167	1572	1794	1679	601	399	693	561	558	1367	552	949
"ACE2_10"	"ACE2"	714	1025	1399	4803	2971	3305	5475	4964	571	1004	770	796	1061	413	188	224
"ACE2_11"	"ACE2"	748	1008	1105	3381	2300	1975	2978	3798	846	548	676	538	1576	135	739	1365
"ACE2_4"	"ACE2"	1101	1491	2832	6445	4002	4145	7974	8931	889	519	1265	721	3769	2142	1299	574
"ACE2_5"	"ACE2"	1478	1496	2710	5980	3758	5100	7758	8425	1538	830	1025	1144	441	643	919	563
"ACE2_7"	"ACE2"	379	322	665	2244	1425	1572	2091	2207	161	144	44	51	34	78	954	138
"ACE2_9"	"ACE2"	2558	2692	2785	10057	6520	7993	9286	9998	2981	1863	1876	2223	3544	1300	3126	368
"ACN9_1"	"ACN9"	1575	1980	889	2053	1644	1751	1759	1921	1504	851	1555	1315	1237	414	1204	30
"ACN9_2"	"ACN9"	3032	3912	1558	4677	2839	4228	4367	3677	2738	1978	3244	1894	4371	1356	1868	2759
"ACN9_3"	"ACN9"	1370	1627	747	2003	1414	1463	1239	1524	2006	1580	2115	1914	4551	3219	2711	2002
"ACN9_4"	"ACN9"	2948	3228	2168	5828	4457	5994	5208	6070	5769	4183	4155	3773	8111	2506	2347	4967
"ACN9_5"	"ACN9"	845	1035	462	1265	1093	1423	1237	1669	1359	855	1140	1763	47	104	548	1560
"ACN9_6"	"ACN9"	1192	1315	693	1719	1090	1390	1691	1529	1300	494	934	816	1939	592	324	136
"ACO2_16"	"ACO2"	1805	2375	1171	4316	3194	3379	2994	3802	2451	1610	2372	1372	365	683	997	2036
"ACO2_17"	"ACO2"	1376	1509	292	1099	1044	1500	609	869	1890	1703	1698	1296	1244	858	1026	2092
"ACO2_2"	"ACO2"	859	1162	597	2145	1163	1848	1746	1761	2901	1104	1624	3152	304	75	527	206
"ACO2_3"	"ACO2"	1894	2446	651	1546	1796	2232	1744	1278	3176	2066	2070	1438	1738	1839	579	262
"ACO2_4"	"ACO2"	1314	1461	771	1750	1757	1990	1610	1500	2204	856	846	696	571	399	527	717
"ACO2_7"	"ACO2"	650	682	233	1022	693	1320	933	1010	1174	486	260	286	170	114	272	452
"ACOD1_1"	"ACOD1"	1031	1226	423	1325	1042	1649	1097	895	875	1034	1038	1076	1409	439	1240	277
"ACOD1_2"	"ACOD1"	1728	2038	726	2005	1803	2566	1536	1704	2216	1010	1934	1078	5508	4333	4652	1705
"ACOD1_3"	"ACOD1"	2155	2648	1043	2845	3061	3155	2521	2400	2227	1603	2213	1961	5705	767	3148	1832
"ACOD1_4"	"ACOD1"	716	910	436	1212	776	946	1043	705	326	202	305	422	35	19	273	262
"ACOD1_5"	"ACOD1"	985	1354	613	1567	1446	1796	1547	1350	2916	913	2046	1936	853	329	598	146
"ACOD1_6"	"ACOD1"	1232	1736	465	1659	1108	1430	999	1377	1625	679	1156	1255	6881	1744	2999	3734
"ACOT13_10"	"ACOT13"	1612	1924	1339	3959	2954	3133	2938	3952	2692	1496	2312	1655	2378	647	1659	2897
"ACOT13_11"	"ACOT13"	697	634	290	604	534	758	647	424	682	90	413	334	480	1050	488	348
"ACOT13_13"	"ACOT13"	957	1054	756	2341	1368	1639	1272	1944	941	556	1267	832	585	662	1371	235
"ACOT13_21"	"ACOT13"	1122	1306	417	1092	1105	1188	531	515	3004	878	925	2671	9456	1298	1341	4394
"ACOT13_5"	"ACOT13"	733	819	362	1175	792	944	885	1023	1112	743	422	812	2804	1441	812	119
"ACOT13_9"	"ACOT13"	1433	1494	1306	5064	2354	2564	4706	5300	1785	597	1237	1289	1968	733	2400	2391
"ACOT7_1"	"ACOT7"	2702	2886	872	3439	2168	3152	2836	3181	2248	1552	3183	1660	7873	2678	2785	1296
"ACOT7_10"	"ACOT7"	1749	2004	531	1826	1393	1505	1000	1604	6046	3600	4888	3263	6974	3048	2332	615
"ACOT7_3"	"ACOT7"	2854	3411	1342	4563	2894	4472	3105	3500	4052	3142	4840	3166	4227	1336	2357	708
"ACOT7_4"	"ACOT7"	1549	2168	867	3368	2172	2517	1844	1986	1634	1321	1579	1457	1679	1238	1007	2212
"ACOT7_7"	"ACOT7"	1774	2476	942	2592	2141	2561	2284	2326	2350	1105	1749	1164	3160	2260	1878	5226
"ACOT7_9"	"ACOT7"	1561	2089	547	2073	2223	1909	1984	1342	2158	1450	1765	2190	494	1090	1562	305
"ACOT9_1"	"ACOT9"	622	830	556	1164	1041	1108	818	741	1066	499	1249	317	202	511	271	133
"ACOT9_2"	"ACOT9"	958	1366	632	1781	1261	2039	745	1268	1475	654	1536	1358	1767	829	401	43
"ACOT9_4"	"ACOT9"	1120	1273	584	1711	1211	1714	909	1377	1907	778	1174	631	65	75	840	441
"ACOT9_5"	"ACOT9"	1152	1299	383	917	884	880	499	496	1071	514	837	819	3935	620	850	252
"ACOT9_6"	"ACOT9"	884	1182	769	2502	1616	2244	1482	2435	2494	1364	1924	1304	1102	90	27	39
"ACOT9_7"	"ACOT9"	1701	1923	833	1937	1855	2690	2436	2076	3378	1456	2395	2101	1072	407	2195	622
"ACP6_11"	"ACP6"	541	673	269	880	523	717	546	578	659	223	367	244	14	5	84	357
"ACP6_12"	"ACP6"	1323	1418	600	1440	2077	2136	1848	1988	920	506	831	1126	2368	628	2734	2260
"ACP6_13"	"ACP6"	1049	1126	445	1834	1387	1507	1632	1371	1312	633	829	966	961	728	921	678
"ACP6_2"	"ACP6"	499	571	321	880	727	904	794	1040	324	320	754	365	1136	330	141	164
"ACP6_3"	"ACP6"	2742	3417	2711	7257	4696	5615	5501	7732	3507	2581	2188	2554	2825	1063	5683	2385
"ACP6_7"	"ACP6"	1605	2232	651	2691	1103	1786	1816	1996	2369	977	1782	1423	4438	2971	6457	5457
"ACSF2_14"	"ACSF2"	774	881	476	1310	871	1317	1410	1248	726	672	592	769	115	767	696	350
"ACSF2_15"	"ACSF2"	1032	996	250	821	696	741	577	477	477	410	530	221	1718	304	1645	1150
"ACSF2_3"	"ACSF2"	890	517	347	1033	981	913	982	1154	395	284	357	587	390	130	814	57
"ACSF2_4"	"ACSF2"	504	774	395	1558	765	1472	1200	1350	253	315	379	935	73	207	1417	218
"ACSF2_7"	"ACSF2"	854	1228	506	1962	1315	1605	1974	1099	656	425	444	673	1552	1568	2290	4559
"ACSF2_8"	"ACSF2"	714	683	218	1448	443	916	379	503	1197	901	1288	1045	209	375	1056	173
"ACSL1_14"	"ACSL1"	755	609	264	696	645	709	657	799	830	687	293	511	663	50	105	400
"ACSL1_16"	"ACSL1"	1325	2015	776	1931	1414	2093	2192	1684	670	408	1026	821	2659	710	1537	172
"ACSL1_19"	"ACSL1"	1177	1396	666	1834	1848	1927	1295	1675	1082	968	1258	804	903	159	904	186
"ACSL1_2"	"ACSL1"	315	532	129	335	208	457	175	556	307	208	190	199	10	55	12	2
"ACSL1_4"	"ACSL1"	876	1047	481	1192	962	885	1147	1461	749	433	395	938	4349	326	1202	780
"ACSL1_8"	"ACSL1"	782	1063	348	1186	978	1119	1085	1585	600	264	1037	821	454	1642	666	918
"ACSL3_10"	"ACSL3"	507	490	352	769	911	1113	744	1262	249	233	67	77	33	28	1170	48
"ACSL3_12"	"ACSL3"	752	921	328	818	866	1222	832	1454	757	492	1141	1252	341	489	454	494
"ACSL3_13"	"ACSL3"	512	680	157	648	355	456	476	519	426	236	251	340	158	19	27	0
"ACSL3_4"	"ACSL3"	593	662	181	522	736	553	513	564	1048	333	275	355	808	33	857	4
"ACSL3_5"	"ACSL3"	2626	2544	1742	4463	3938	4228	4059	3795	2116	1460	2264	4104	3013	1001	2189	453
"ACSL3_6"	"ACSL3"	325	257	199	820	327	313	639	729	175	185	23	245	13	22	0	138
"ACSL4_1"	"ACSL4"	553	721	53	203	196	265	185	163	369	176	409	136	1286	274	421	176
"ACSL4_10"	"ACSL4"	982	1505	351	668	931	1030	568	929	3513	2250	2647	4460	1240	570	824	1996
"ACSL4_12"	"ACSL4"	912	1095	460	1324	1004	1334	1125	1582	1230	773	909	535	106	313	99	230
"ACSL4_2"	"ACSL4"	166	188	15	15	22	135	14	23	142	62	38	366	278	95	27	1
"ACSL4_4"	"ACSL4"	858	1154	358	1317	1214	1129	678	1028	1074	711	700	705	445	410	2013	3227
"ACSL4_6"	"ACSL4"	744	1035	323	1001	665	837	540	573	621	285	638	528	162	139	752	1306
"ACSL5_10"	"ACSL5"	655	559	473	1495	941	910	726	1545	293	254	323	228	774	372	316	1670
"ACSL5_20"	"ACSL5"	1290	1528	588	1723	1716	2013	1721	1263	1048	947	1034	1225	3394	527	2666	2685
"ACSL5_21"	"ACSL5"	1496	2033	997	2204	2590	2155	2063	2982	925	912	665	450	2143	720	3234	2729
"ACSL5_22"	"ACSL5"	1385	1625	891	2059	1926	2023	2391	2275	2145	672	1456	2955	2724	1417	221	93
"ACSL5_6"	"ACSL5"	1154	1304	708	1664	1406	1721	1561	1190	510	523	796	550	681	122	514	10
"ACSL5_7"	"ACSL5"	2620	2821	860	3196	2696	3185	2464	2917	5215	2412	4094	4996	4744	2243	1690	1874
"ACSL6_3"	"ACSL6"	1744	1825	878	1925	1357	1714	1858	1347	1499	1140	1348	1054	1670	723	914	1576
"ACSL6_4"	"ACSL6"	830	826	325	997	1030	1158	767	466	957	1257	1090	566	1318	272	87	21
"ACSL6_5"	"ACSL6"	1048	1632	1105	2925	1716	2463	1874	2171	1401	628	1035	642	531	548	1994	690
"ACSL6_6"	"ACSL6"	1664	1933	1031	3313	2659	3224	2373	3385	4251	2815	2993	3008	2743	559	1494	682
"ACSL6_7"	"ACSL6"	978	1190	641	2933	1318	1752	1295	1854	2339	1876	2419	2388	4531	429	594	1090
"ACSL6_8"	"ACSL6"	1739	1885	606	2682	1959	2554	1752	2074	2029	2148	1735	1922	376	537	817	37
"ACSM1_1"	"ACSM1"	388	578	164	533	477	481	500	641	395	265	387	699	85	53	171	19
"ACSM1_15"	"ACSM1"	1229	909	415	1953	1204	1529	1304	1314	1285	1078	963	595	3190	398	169	1293
"ACSM1_25"	"ACSM1"	1429	1839	547	1571	1618	1491	1159	1534	1288	877	1311	673	3268	1396	1450	706
"ACSM1_28"	"ACSM1"	1181	1184	466	1335	1721	2139	1579	1427	1202	794	785	572	146	22	970	1644
"ACSM1_29"	"ACSM1"	1332	1493	685	2070	1199	1525	2030	1707	1512	1123	1283	1277	1017	1428	1518	485
"ACSM1_32"	"ACSM1"	998	1335	723	2141	1971	1864	1072	1389	2578	2229	2275	2765	5581	240	1144	2075
"ACSM2A_1"	"ACSM2A"	1137	1262	505	1692	1425	1529	941	1596	1862	884	1109	758	3294	835	202	90
"ACSM2A_2"	"ACSM2A"	1396	1315	427	2259	1021	1671	1719	1521	1762	1715	3079	1408	67	831	354	952
"ACSM2A_3"	"ACSM2A"	1062	972	534	1129	734	1238	966	1486	655	474	695	865	822	390	1012	137
"ACSM2A_4"	"ACSM2A"	754	902	525	1475	1137	1066	652	1042	1145	924	1947	1081	2505	147	1436	575
"ACSM2A_5"	"ACSM2A"	1359	1270	227	733	830	981	372	648	3241	1066	2463	2145	3522	799	437	412
"ACSM2A_6"	"ACSM2A"	2234	2319	812	2306	1766	1637	2230	1891	1980	1500	3413	1347	2225	748	1494	1122
"ACSM2B_13"	"ACSM2B"	1125	1180	857	2983	1825	1753	2090	2578	710	408	566	483	506	32	723	1297
"ACSM2B_23"	"ACSM2B"	1619	1527	765	2149	1490	1901	1691	1747	1259	990	743	1373	6013	1023	1182	260
"ACSM2B_24"	"ACSM2B"	1969	2579	848	2752	2155	2740	1800	2452	1856	857	1814	1836	4316	1574	2050	1802
"ACSM2B_29"	"ACSM2B"	2017	2412	1188	3696	2557	3656	2594	3188	3336	1697	2052	2594	1337	748	1230	3016
"ACSM2B_32"	"ACSM2B"	1142	1252	433	1196	1103	1854	972	1336	2047	1426	2254	1776	1716	181	724	31
"ACSM2B_6"	"ACSM2B"	2235	2318	812	2307	1769	1638	2232	1891	1981	1500	3413	1347	2226	748	1494	1123
"ACSM3_11"	"ACSM3"	770	880	706	2149	1510	1651	1793	812	1120	423	1204	1703	41	56	2189	16
"ACSM3_12"	"ACSM3"	1395	1869	687	2731	2486	2858	1800	1457	3665	2761	2105	2690	3722	866	1827	1728
"ACSM3_13"	"ACSM3"	2885	3280	1260	3817	3067	4299	3070	2618	4190	2375	3445	3033	9987	2756	2757	1217
"ACSM3_2"	"ACSM3"	380	396	165	602	679	559	810	964	909	456	223	304	301	9	132	83
"ACSM3_3"	"ACSM3"	775	855	312	857	748	1051	869	1460	787	478	569	521	181	182	37	118
"ACSM3_8"	"ACSM3"	1416	2129	691	2309	1861	1894	1650	1806	1657	876	1323	1842	1769	322	2598	1971
"ACSM5_1"	"ACSM5"	1694	1923	582	2214	1757	1489	1602	1503	2326	887	1033	1209	1556	1056	1111	641
"ACSM5_13"	"ACSM5"	1583	1871	1503	3547	3608	2952	3038	3926	1765	1097	1427	1182	521	1424	476	916
"ACSM5_3"	"ACSM5"	1333	1767	879	2607	1566	2100	1650	2121	814	658	799	999	8470	1844	1145	1203
"ACSM5_6"	"ACSM5"	955	991	508	1553	1078	1364	1706	1525	1334	654	592	917	1910	1680	902	867
"ACSM5_8"	"ACSM5"	811	1076	633	1832	1317	1909	2230	1829	810	793	677	1426	576	192	1698	124
"ACSM5_9"	"ACSM5"	1351	1517	761	2102	1837	1853	1560	1404	930	638	440	342	2902	388	3660	372
"ACSM6_1"	"ACSM6"	1586	2065	886	2276	2035	2486	1659	2172	1224	882	1434	1177	2562	987	987	1212
"ACSM6_2"	"ACSM6"	1366	1863	713	1904	1564	2086	1753	1046	1540	1170	1153	1483	2091	188	1730	210
"ACSM6_3"	"ACSM6"	1378	1580	1358	3723	2331	3484	3300	3331	2559	1785	2567	1875	1332	179	1353	1985
"ACSM6_4"	"ACSM6"	1469	1712	641	2337	1409	1665	1983	2516	1543	791	1448	1043	14695	1585	937	1795
